series,year,group,category,active,nonactive,gap,status,active_status,nonactive_status,workbook,sheet,active_cell,nonactive_cell,interpretation
web,2018-19,Employment size,20–199 persons,89.7,77.1,12.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H14,M14,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Employment size,20–199 persons,77.2,68.7,8.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I14,N14,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Employment size,20–199 persons,84.6,69.5,15.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J14,O14,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Employment size,20–199 persons,55.7,43.7,12.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K14,P14,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Employment size,200 or more persons,99.9,99.8,0.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G15,L15,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Employment size,200 or more persons,97.9,93.1,4.8,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H15,M15,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Employment size,200 or more persons,87.9,85.6,2.3,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I15,N15,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Employment size,200 or more persons,90.0,86.0,4.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J15,O15,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Employment size,200 or more persons,67.0,65.3,1.7,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K15,P15,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,"Agriculture, Forestry and Fishing",98.9,95.0,3.9,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G17,L17,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,"Agriculture, Forestry and Fishing",32.1,9.9,22.2,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H17,M17,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,"Agriculture, Forestry and Fishing",25.2,10.2,15.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I17,N17,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,"Agriculture, Forestry and Fishing",70.1,44.7,25.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J17,O17,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,"Agriculture, Forestry and Fishing",34.8,20.3,14.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K17,P17,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Mining,100.0,97.4,2.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G18,L18,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Mining,69.3,62.7,6.6,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,H18,M18,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Mining,52.4,31.2,21.2,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,I18,N18,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Mining,65.4,60.4,5.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J18,O18,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Mining,39.1,18.3,20.8,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K18,P18,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Manufacturing,98.2,94.4,3.8,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G19,L19,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Manufacturing,81.0,56.1,24.9,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H19,M19,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Manufacturing,61.9,44.0,17.9,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I19,N19,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Manufacturing,78.4,65.8,12.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J19,O19,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Manufacturing,69.5,50.4,19.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K19,P19,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,"Electricity, Gas, Water and Waste Services",100.0,95.9,4.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G20,L20,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,"Electricity, Gas, Water and Waste Services",80.9,52.9,28.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H20,M20,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,"Electricity, Gas, Water and Waste Services",62.6,33.1,29.5,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,I20,N20,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,"Electricity, Gas, Water and Waste Services",74.5,38.4,36.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J20,O20,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,"Electricity, Gas, Water and Waste Services",57.4,32.6,24.8,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,K20,P20,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Construction,99.0,96.5,2.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G21,L21,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Construction,48.0,35.4,12.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H21,M21,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Construction,47.0,32.6,14.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I21,N21,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Construction,70.3,49.8,20.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J21,O21,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Construction,46.0,40.1,5.9,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K21,P21,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Wholesale Trade,100.0,96.4,3.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G22,L22,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Wholesale Trade,77.7,63.4,14.3,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H22,M22,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Wholesale Trade,56.7,33.2,23.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I22,N22,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Wholesale Trade,78.3,62.6,15.7,caution,published,caution,data_2018-19/81670do009_201819.xls,Table_1,J22,O22,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Wholesale Trade,68.3,48.1,20.2,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K22,P22,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Retail Trade,96.1,94.4,1.7,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G23,L23,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Retail Trade,72.6,54.2,18.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H23,M23,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Retail Trade,76.0,52.4,23.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I23,N23,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Retail Trade,80.0,67.7,12.3,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J23,O23,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Retail Trade,57.9,48.3,9.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K23,P23,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Accommodation and Food Services,97.0,87.5,9.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G24,L24,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Accommodation and Food Services,61.7,46.3,15.4,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,H24,M24,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Accommodation and Food Services,76.7,54.3,22.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I24,N24,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Accommodation and Food Services,70.5,46.2,24.3,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,J24,O24,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Accommodation and Food Services,52.7,36.5,16.2,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,K24,P24,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,"Transport, Postal and Warehousing",100.0,93.3,6.7,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G25,L25,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,"Transport, Postal and Warehousing",51.2,22.4,28.8,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,H25,M25,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,"Transport, Postal and Warehousing",41.5,15.3,26.2,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,I25,N25,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,"Transport, Postal and Warehousing",67.9,40.9,27.0,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,J25,O25,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,"Transport, Postal and Warehousing",51.7,24.1,27.6,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,K25,P25,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Information Media and Telecommunications,99.3,97.8,1.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G26,L26,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Information Media and Telecommunications,87.8,61.4,26.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H26,M26,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Information Media and Telecommunications,83.4,51.7,31.7,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I26,N26,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Information Media and Telecommunications,83.6,66.2,17.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J26,O26,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Information Media and Telecommunications,64.5,45.8,18.7,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K26,P26,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Financial and Insurance Services,100.0,100.0,0.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G27,L27,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Financial and Insurance Services,83.9,59.4,24.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H27,M27,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Financial and Insurance Services,76.6,37.1,39.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I27,N27,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Financial and Insurance Services,70.3,45.5,24.8,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J27,O27,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Financial and Insurance Services,43.3,16.4,26.9,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K27,P27,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,"Rental, Hiring and Real Estate Services",98.8,90.3,8.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G28,L28,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,"Rental, Hiring and Real Estate Services",77.3,47.5,29.8,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H28,M28,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,"Rental, Hiring and Real Estate Services",69.4,42.0,27.4,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,I28,N28,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,"Rental, Hiring and Real Estate Services",71.1,39.5,31.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J28,O28,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,"Rental, Hiring and Real Estate Services",51.5,24.6,26.9,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,K28,P28,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,"Professional, Scientific and Technical Services",100.0,99.1,0.9,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G29,L29,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,"Professional, Scientific and Technical Services",83.8,48.8,35.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H29,M29,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,"Professional, Scientific and Technical Services",64.3,35.8,28.5,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I29,N29,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,"Professional, Scientific and Technical Services",79.3,57.4,21.9,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J29,O29,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,"Professional, Scientific and Technical Services",45.7,32.3,13.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K29,P29,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Administrative and Support Services,100.0,95.8,4.2,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G30,L30,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Administrative and Support Services,73.9,44.9,29.0,caution,caution,caution,data_2018-19/81670do009_201819.xls,Table_1,H30,M30,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Administrative and Support Services,63.3,34.9,28.4,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,I30,N30,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Administrative and Support Services,72.9,50.5,22.4,caution,caution,caution,data_2018-19/81670do009_201819.xls,Table_1,J30,O30,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Administrative and Support Services,50.8,31.1,19.7,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,K30,P30,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Health Care and Social Assistance,100.0,98.0,2.0,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G31,L31,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Health Care and Social Assistance,76.5,45.8,30.7,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H31,M31,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Health Care and Social Assistance,60.2,30.4,29.8,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I31,N31,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Health Care and Social Assistance,80.5,52.7,27.8,caution,published,caution,data_2018-19/81670do009_201819.xls,Table_1,J31,O31,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Health Care and Social Assistance,42.1,15.1,27.0,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,K31,P31,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Arts and Recreation Services,100.0,94.2,5.8,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G32,L32,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Arts and Recreation Services,84.1,72.2,11.9,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,H32,M32,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Arts and Recreation Services,80.7,69.0,11.7,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I32,N32,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Arts and Recreation Services,87.6,62.0,25.6,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J32,O32,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Arts and Recreation Services,60.3,44.2,16.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,K32,P32,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
internet,2018-19,Industry,Other Services,100.0,94.9,5.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,G33,L33,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
web,2018-19,Industry,Other Services,70.0,45.9,24.1,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,H33,M33,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
social,2018-19,Industry,Other Services,77.9,51.5,26.4,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,I33,N33,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
placed,2018-19,Industry,Other Services,76.0,64.9,11.1,published,published,published,data_2018-19/81670do009_201819.xls,Table_1,J33,O33,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
received,2018-19,Industry,Other Services,48.2,33.5,14.7,caution,caution,published,data_2018-19/81670do009_201819.xls,Table_1,K33,P33,Within-wave descriptive association; each innovation-status group is its own denominator. No causal or joint size-industry adjustment.
